donor_fips,weight,sector
48329,0.6409792008446948,construction
48281,0.15654682777584492,construction
48287,0.058998701670991055,construction
48477,0.05616643719703143,construction
48223,0.015210984380786817,construction
48497,0.010048383815913598,construction
48375,0.006093480626321303,construction
48183,0.005737759581502018,construction
48367,0.004590225225863704,construction
48257,0.004536469362606241,construction
48381,0.004350524238183997,construction
48217,0.0042155223895121025,construction
48451,0.003789274965496488,construction
48139,0.0036865016531230674,construction
48181,0.003198833022480729,construction
48251,0.002857777875850402,construction
48467,0.002496909925138315,construction
48213,0.0024815748625050546,construction
48341,0.0024056997311014596,construction
48231,0.0022356253687403045,construction
48143,0.0021804561366915564,construction
48041,0.0018854298962544102,construction
48097,0.001148757089069975,construction
48309,0.0010646544781736365,construction
48027,0.0010474638635910413,construction
48147,9.239003773360251e-4,construction
48303,7.954854107552409e-4,construction
48221,2.9435511959911723e-4,construction
48121,3.278295041363822e-5,construction
48375,0.5242365417721484,retail
48217,0.27973951357032484,retail
48477,0.11512834225061844,retail
48223,0.06847210527834208,retail
48097,0.0036305231755434063,retail
48143,0.0016959073934702446,retail
48397,0.0011821246935309936,retail
48221,0.0010018776617755766,retail
48213,5.921399429680996e-4,retail
48181,4.421804654769672e-4,retail
48183,4.341833954555317e-4,retail
48367,3.508520405279517e-4,retail
48257,2.926319665379211e-4,retail
48497,2.907343502774329e-4,retail
48329,2.693602519918505e-4,retail
48147,2.544736488968777e-4,retail
48467,2.3916793799124867e-4,retail
48251,2.3825919908689898e-4,retail
48287,2.3772966072232505e-4,retail
48231,2.107238667702398e-4,retail
48139,1.958219728285098e-4,retail
48281,1.878037508600117e-4,retail
48041,1.610233715954915e-4,retail
48381,1.409505183000738e-4,retail
48063,1.273681595562284e-4,retail
48451,1.2498566651695034e-4,retail
48309,4.373285321802151e-5,retail
48341,3.745957001992854e-5,retail
48027,3.505722070495888e-5,retail
48121,4.848326686126974e-6,retail
48303,1.5760231768022071e-6,retail
48329,0.4799140687323442,foodservice
48397,0.09986177428354442,foodservice
48497,0.04668042195627649,foodservice
48375,0.03782744548243995,foodservice
48183,0.031039155968627097,foodservice
48027,0.02110800374596311,foodservice
48221,0.01797662989618696,foodservice
48367,0.016856266246966043,foodservice
48477,0.01660807811489682,foodservice
48213,0.016066224337587667,foodservice
48451,0.015744790218679222,foodservice
48257,0.015021435721532566,foodservice
48467,0.015017649343929703,foodservice
48181,0.014869894846978685,foodservice
48381,0.014755652085156806,foodservice
48251,0.014233355166797555,foodservice
48139,0.014165753002522274,foodservice
48231,0.013972127659131365,foodservice
48309,0.013797889543540507,foodservice
48143,0.013288354815709275,foodservice
48223,0.01302297888609172,foodservice
48097,0.012720589386317465,foodservice
48217,0.012461622781897289,foodservice
48041,0.012321880452719649,foodservice
48287,0.009093663462585262,foodservice
48303,0.008994709416875905,foodservice
48121,0.0025795842954167425,foodservice
