year,sector,estimate,se,ci_lo,ci_hi
1994,construction,0.40585660847673777,0.1783609937524559,0.056269060721924224,0.7554441562315513
1995,construction,0.2882971942440811,0.17727670830305337,-0.059165154029903466,0.6357595425180658
1996,construction,0.10824903498422271,0.11452596672100035,-0.11622185978893797,0.3327199297573834
1997,construction,0.12171827115747848,0.08844623504756119,-0.05163634953574146,0.2950728918506984
1999,construction,0.0381929656935026,0.1169389699093114,-0.1910074153287477,0.26739334671575293
2000,construction,0.13346246505757717,0.18860523811203841,-0.23620380164201812,0.5031287317571724
2001,construction,0.11853677429232463,0.2185069653182028,-0.30973687773135283,0.5468104263160021
2002,construction,0.025826319326662617,0.28917341402868096,-0.5409535721695521,0.5926062108228772
2003,construction,0.06756752951160006,0.25615203985208795,-0.4344904685984923,0.5696255276216924
2004,construction,0.03367024058043528,0.29129687893388073,-0.5372716421299709,0.6046121232908416
2005,construction,-0.03603858033534207,0.3059288668000479,-0.6356591592634359,0.5635819985927518
2006,construction,-0.051580041030304294,0.3735830121886245,-0.7838027449200083,0.6806426628593997
2007,construction,-0.6117063809395141,0.8203447984816071,-2.219582185963464,0.9961694240844358
2008,construction,-0.3566591051362998,0.7057339896302669,-1.7398977248116227,1.0265795145390233
2009,construction,-0.4666200031795516,0.7638111347250487,-1.963689827240647,1.0304498208815438
2010,construction,-0.3335539987405662,0.48663967082203186,-1.2873677535517487,0.6202597560706162
2011,construction,-0.1931707377443624,0.46335890659906415,-1.1013541946785281,0.7150127191898032
2012,construction,-0.5653168562684795,0.7039308141225107,-1.9450212519486003,0.8143875394116414
2013,construction,-0.3973104781040422,0.6717547712831047,-1.7139498298189273,0.9193288736108429
2014,construction,-0.4315844607986041,0.7475214032254188,-1.896726411120425,1.0335574895232167
2015,construction,-0.34716218267859045,0.73513493851646,-1.7880266621708518,1.093702296813671
2016,construction,-0.4902230585120366,0.6668820330361007,-1.797311843262794,0.8168657262387207
2017,construction,0.2863591499003794,0.47180108391165193,-0.6383709745664583,1.2110892743672173
2018,construction,0.08750780171333103,0.4462137984276483,-0.7870712432048595,0.9620868466315217
