analysis,outcome,coef,se_cr,p_cr,p_boot,ci_boot_lo,ci_boot_hi,n_clusters,n_obs
ZBP DiD,ln_estab,-0.5235801522092649,0.387826943840947,0.2019193694568117,0.2218722187221872,-1.7827841247057012,0.1790840581902271,13,351
ZBP DiD,ln_emp,-0.021375438210046217,0.6440923617374161,0.9740711550823464,0.970139701397014,-2.063800891896802,1.3774231734127893,13,351
ZBP DiD,ln_payann_real,0.5862939023522092,0.983454597111192,0.56214703315128,0.5762557625576256,-1.7235557856597437,3.6864629890089424,13,351
HPI DiD (ZIP),ln_hpi (binary),0.010280699677501223,0.03306751427126675,0.7616885096667858,0.7579975799757998,-0.09683529824415169,0.1098988128606586,12,391
HPI DiD (ZIP),ln_hpi (intensity),-1.5323312012437818e-4,0.0030643541992706894,0.9610148255939053,0.964339643396434,-0.007155639452472517,0.007833983968126798,12,391
HPI DiD (Tract),ln_hpi (binary),6.581259670490034e-4,0.014163957435531803,0.9632378061296771,0.9643796437964379,NA,NA,32,1037
HPI DiD (Tract),ln_hpi (intensity),-0.0040582988193434266,0.0022991750711808434,0.08739579796385054,0.13451134511345114,-0.010144151718312414,8.973395647105889e-4,32,1037
