variable,48091,synthetic_48091,donor_sample
pci_early,37008.17806100076,37105.111537311175,31666.391114247665
pci_late,40947.38175797859,40886.76405837021,34080.23553200748
unemp_avg,4.2555555555555555,4.264323372412812,5.278853046594982
emp_pop_avg,0.49078388267091005,0.4908910619129691,0.466146418178995
wage_avg,32528.37504113049,32700.468194142235,35152.94622215435
pop_early,54400,53969.74098427615,78333.01612903226
pop_late,66842.6,61709.48332787848,86927.68387096774
