year,actual,synthetic,gap,post,sector,emp_col
2000,8.53168763756669,8.436708002336443,0.09497963523024744,TRUE,retail,retail_emp
2001,8.602269363771356,8.41478957675191,0.18747978701944668,TRUE,retail,retail_emp
2002,8.639410824140487,8.406094872636881,0.23331595150360585,TRUE,retail,retail_emp
2003,8.61323037961318,8.384725450758827,0.22850492885435258,TRUE,retail,retail_emp
2004,8.346404870435956,8.405103934264078,-0.05869906382812218,TRUE,retail,retail_emp
2005,8.417593826193484,8.345165392156579,0.07242843403690458,TRUE,retail,retail_emp
2006,8.56331312702979,8.312392605410906,0.2509205216188839,TRUE,retail,retail_emp
2007,8.655737000864297,8.327746627022142,0.32799037384215524,TRUE,retail,retail_emp
2008,8.667163717992533,8.336062380631025,0.33110133736150793,TRUE,retail,retail_emp
2009,8.616314282284044,8.327362509040402,0.2889517732436424,TRUE,retail,retail_emp
2010,8.642944396721798,8.305155853428662,0.33778854329313646,TRUE,retail,retail_emp
2011,8.678291111758565,8.313776538994421,0.36451457276414345,TRUE,retail,retail_emp
2012,8.721602344674197,8.324375027060858,0.3972273176133392,TRUE,retail,retail_emp
2013,8.780018887869153,8.34395048618711,0.43606840168204286,TRUE,retail,retail_emp
2014,8.824089482791823,8.35308584084913,0.4710036419426924,TRUE,retail,retail_emp
2015,8.876125585396185,8.371936040731153,0.5041895446650315,TRUE,retail,retail_emp
2016,8.9947928972836,8.372754766603279,0.6220381306803215,TRUE,retail,retail_emp
1990,7.483806687665835,7.481089979976324,0.0027167076895109332,FALSE,foodservice,foodservice_emp
1991,7.513163545234075,7.509991438359158,0.003172106874917091,FALSE,foodservice,foodservice_emp
1992,7.545389749611823,7.575954186090905,-0.03056443647908136,FALSE,foodservice,foodservice_emp
1993,7.620214770574455,7.595717825148847,0.024496945425608097,FALSE,foodservice,foodservice_emp
1994,7.64826303090192,7.66500367078763,-0.016740639885710173,FALSE,foodservice,foodservice_emp
1995,7.751045117971802,7.752446664962001,-0.0014015469901993427,FALSE,foodservice,foodservice_emp
1996,7.821242083523558,7.79109054486448,0.03015153865907738,FALSE,foodservice,foodservice_emp
1997,7.843848638152472,7.855279617820767,-0.011430979668295649,FALSE,foodservice,foodservice_emp
1998,7.898039690764619,7.8982812020600885,-2.4151129546989836e-4,FALSE,foodservice,foodservice_emp
1999,7.967973179662935,7.9315730844346035,0.03640009522833143,TRUE,foodservice,foodservice_emp
2000,7.988542982737695,7.958610761588853,0.029932221148841975,TRUE,foodservice,foodservice_emp
2001,8.028455164114252,8.002655018226818,0.025800145887433956,TRUE,foodservice,foodservice_emp
2002,8.025189321890835,8.024649512094399,5.398097964359749e-4,TRUE,foodservice,foodservice_emp
2003,8.072779333169498,8.054275532768077,0.018503800401420634,TRUE,foodservice,foodservice_emp
2004,8.137980454452139,8.081276689694318,0.05670376475782035,TRUE,foodservice,foodservice_emp
2005,8.229511118964457,8.121853358039848,0.10765776092460833,TRUE,foodservice,foodservice_emp
2006,8.330140460246382,8.160523137447212,0.1696173227991693,TRUE,foodservice,foodservice_emp
2007,8.405143687607614,8.208381679687104,0.19676200792051013,TRUE,foodservice,foodservice_emp
2008,8.490027523343468,8.277936479845366,0.21209104349810204,TRUE,foodservice,foodservice_emp
2009,8.520388082312756,8.312667859768585,0.20772022254417166,TRUE,foodservice,foodservice_emp
2010,8.522777569710138,8.280757224265004,0.24202034544513396,TRUE,foodservice,foodservice_emp
2011,8.602636673233706,8.333282297783763,0.269354375449943,TRUE,foodservice,foodservice_emp
2012,8.6110477668878609,8.369754525154375,0.24129324173348543,TRUE,foodservice,foodservice_emp
2013,8.614501373883236,8.418993123135843,0.19550825074739286,TRUE,foodservice,foodservice_emp
2014,8.667163717992533,8.477628498016355,0.18953521997617884,TRUE,foodservice,foodservice_emp
2015,8.736489351001554,8.505135279497019,0.23135407150453524,TRUE,foodservice,foodservice_emp
2016,8.788593431293735,8.47414135558541,0.314452075708326,TRUE,foodservice,foodservice_emp
